2023-07-23 13:43:12,344 Start Time:
2023-07-23 13:43:12,344 20230723-134312
2023-07-23 13:56:26,977 [14,    12] loss: 0.1969
2023-07-23 13:56:27,090 [14,    16] loss: 0.3008
2023-07-23 13:56:27,201 [14,    20] loss: 0.2064
2023-07-23 13:56:27,313 [14,    24] loss: 0.2599
2023-07-23 13:56:27,425 [14,    28] loss: 0.3584
2023-07-23 13:56:27,537 [14,    32] loss: 0.2969
2023-07-23 13:56:27,650 [14,    36] loss: 0.4013
2023-07-23 13:56:27,761 [14,    40] loss: 0.1902
2023-07-23 13:56:27,872 [14,    44] loss: 0.2474
2023-07-23 13:56:27,982 [14,    48] loss: 0.2472
2023-07-23 13:56:28,099 [14,    52] loss: 0.2582
2023-07-23 13:56:28,210 [14,    56] loss: 0.3264
2023-07-23 13:56:28,321 [14,    60] loss: 0.2475
2023-07-23 13:56:28,435 [14,    64] loss: 0.3036
2023-07-23 13:56:28,546 [14,    68] loss: 0.3470
2023-07-23 13:56:28,659 [14,    72] loss: 0.3362
2023-07-23 13:56:28,769 [14,    76] loss: 0.3653
2023-07-23 13:56:28,879 [14,    80] loss: 0.4902
2023-07-23 13:56:58,343 [15,     4] loss: 0.3231
2023-07-23 13:56:58,462 [15,     8] loss: 0.2725
2023-07-23 13:56:58,574 [15,    12] loss: 0.2405
2023-07-23 13:56:58,685 [15,    16] loss: 0.2590
2023-07-23 13:56:58,797 [15,    20] loss: 0.2276
2023-07-23 13:56:58,912 [15,    24] loss: 0.1882
2023-07-23 13:56:59,025 [15,    28] loss: 0.3967
2023-07-23 13:56:59,142 [15,    32] loss: 0.1815
2023-07-23 13:56:59,254 [15,    36] loss: 0.2637
2023-07-23 13:56:59,367 [15,    40] loss: 0.3058
2023-07-23 13:56:59,479 [15,    44] loss: 0.2347
2023-07-23 13:56:59,593 [15,    48] loss: 0.3620
2023-07-23 13:56:59,705 [15,    52] loss: 0.2946
2023-07-23 13:56:59,818 [15,    56] loss: 0.3652
2023-07-23 13:56:59,930 [15,    60] loss: 0.2070
2023-07-23 13:57:00,045 [15,    64] loss: 0.2330
2023-07-23 13:57:00,158 [15,    68] loss: 0.2738
2023-07-23 13:57:00,275 [15,    72] loss: 0.2641
